Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
7,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.753,0.761,0.695,1154.2959213256836
7,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.76,0.768,0.698,1309.8110251426697
7,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.754,0.692,1150.474140405655
7,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.757,0.761,0.682,1255.287624835968
8,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.751,0.761,0.682,1522.8489956855774
8,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.753,0.761,0.685,2389.9724476337433
8,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.754,0.692,4273.255148887634
8,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.758,0.754,0.692,4600.239503622055
8,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.746,0.695,4238.451997041702
8,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.76,0.761,0.682,3862.036542892456
8,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.761,0.682,4196.430804491043
8,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.764,0.761,0.708,5371.666973352432
8,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.76,0.754,0.692,1888.3818204402924
8,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.746,0.669,1706.7485582828522
8,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.755,0.754,0.685,1387.720261335373
8,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.762,0.754,0.705,1365.526019334793
8,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.758,0.754,0.695,1365.232854127884
8,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.758,0.754,0.689,1259.0638213157654
8,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.765,0.754,0.689,2110.1190712451935
8,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.753,0.754,0.682,1152.1400530338287
9,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.762,0.754,0.698,3927.975600004196
9,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.765,0.754,0.692,5470.5735104084015
9,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.76,0.754,0.708,5445.642413854599
9,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.757,0.761,0.692,1908.8843746185303
9,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.761,0.685,1812.337994813919
9,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.774,0.754,0.705,3015.4441599845886
9,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.751,0.754,0.702,1841.3385684490204
9,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.754,0.685,1809.2392320632935
9,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.757,0.754,0.689,2217.031878709793
9,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.754,0.695,3011.073469400406
9,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.762,0.754,0.698,3364.3790307044983
9,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.758,0.754,0.692,2916.328150987625
9,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.754,0.689,1160.670493364334
9,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.762,0.746,0.679,1156.0722115039825
9,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.753,0.754,0.692,1160.1684231758118
9,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.755,0.746,0.672,1247.6317827701569
